Sample,Latency_secs
464,0.00045559
465,0.000640314
466,0.000369138
467,0.000490865
468,0.000543644
469,0.000482109
470,0.00060582
471,0.000513408
472,0.000257651
473,0.000497157
474,0.000556709
475,0.000501375
476,0.000591273
477,0.00045062
478,0.000505994
479,0.000591564
480,0.000561798
481,0.000637039
482,0.000467101
483,0.000467492
484,0.0005681
485,0.000521854
486,0.000502117
487,0.000413221
488,0.000615378
489,0.000421356
490,0.000468524
491,0.000469286
492,0.00053085
493,0.000386892
494,0.000480086
495,0.000494572
496,0.000583127
497,0.000466149
498,0.00045048
499,0.000307073
500,0.000566055
501,0.000492518
502,0.000624264
503,0.000545418
504,0.000521402
505,0.000430102
506,0.000534266
507,0.000638551
508,0.000574472
509,0.00043445
510,0.000606932
511,0.000599698
512,0.000484083
513,0.00061643
514,0.000510262
515,0.000518337
516,0.00048759
517,0.000677544
518,0.000485475
519,0.000576415
520,0.000464015
521,0.000546389
522,0.000580402
523,0.000385169
524,0.000437796
525,0.000591484
526,0.000571225
527,0.000685909
528,0.000483502
529,0.000425814
530,0.000411738
531,0.000538735
532,0.000449197
533,0.000522084
534,0.000437637
535,0.000534747
536,0.00065407
537,0.000519789
538,0.000354782
539,0.00042315
540,0.000552511
541,0.000382444
542,0.000626379
543,0.000553993
544,0.000514009
545,0.000578249
546,0.000581805
547,0.000529648
548,0.000480216
549,0.000603205
550,0.000415786
551,0.000587667
552,0.000447104
553,0.000576526
554,0.000416617
555,0.000432537
556,0.000416927
557,0.00062747
558,0.000443447
559,0.000482039
560,0.000414663
561,0.000567278
562,0.000452935
563,0.000550146
564,0.000592676
565,0.000662997
566,0.000489232
567,0.000545778
568,0.000539155
569,0.000504962
570,0.000430102
571,0.000558381
572,0.000565365
573,0.000512586
574,0.000561828
575,0.000587125
576,0.000671112
577,0.000466911
578,0.000587395
579,0.000415345
580,0.000538625
581,0.000526161
582,0.000522104
583,0.000494232
584,0.000495644
585,0.000261437
586,0.0004505
587,0.000347598
588,0.000440913
589,0.000494943
