Sample,Latency_secs
912,0.00054141
913,0.000384137
914,0.000445922
915,0.000234667
916,0.000459487
917,0.000239958
918,0.000668156
919,0.00045574
920,0.000384077
921,0.000396259
922,0.000573129
923,0.000460309
924,0.000386591
925,0.000252371
926,0.00036433
927,0.000253943
928,0.000288388
929,0.000317712
930,0.000387382
931,0.000469997
932,0.000595921
933,0.000292145
934,0.000432898
935,0.000338492
936,0.000301702
937,0.000489242
938,0.000561307
939,0.000491066
940,0.000569733
941,0.000510442
942,0.000452594
943,0.00043398
944,0.000560606
945,0.000491497
946,0.000597705
947,0.000585633
948,0.000524468
949,0.000390738
950,0.000553182
951,0.000603295
952,0.000554274
953,0.000515371
954,0.000507907
955,0.000576556
956,0.000517565
957,0.000642658
958,0.000531732
959,0.000479685
960,0.000567548
961,0.000507938
962,0.000391931
963,0.000486427
964,0.000545307
965,0.000341397
966,0.000433909
967,0.000286003
968,0.000478302
969,0.000487158
970,0.000291885
971,0.000481067
972,0.000421797
973,0.000574973
974,0.000598126
975,0.000362646
976,0.000538404
977,0.000476779
978,0.00046084
979,0.000523657
980,0.000585653
981,0.000587405
982,0.000388825
983,0.000614857
984,0.000439179
985,0.000774124
986,0.000674347
987,0.000710906
988,0.000619926
989,0.00050903
990,0.000314346
991,0.000462032
992,0.000410316
993,0.000461651
994,0.000361414
995,0.000421987
996,0.00035928
997,0.000422708
998,0.000490535
999,0.000528236
